Description,Url
Beneficiary’s blog and personal website.,https://tomblomfield.com/
Beneficiary’s Wikipedia page,https://en.wikipedia.org/wiki/Tom_Blomfield
Media Coverage of Beneficiary or his/her work,https://www.information-age.com/tech-disruptors-tom-blomfield-founder-monzo-bank-14364/
Media Coverage of Beneficiary or his/her work,https://www.telegraph.co.uk/business/2017/08/05/rapid-rise-banking-app-monzo-zuckerberg-would-turn-talk-everything/
Media Coverage of Beneficiary or his/her work,https://techcrunch.com/2015/03/16/go-founder-less/
Media Coverage of Beneficiary or his/her work,https://www.theguardian.com/money/2015/jun/29/digital-banking-mondo-hopes-to-become-the-google-or-facebook-of-the-sector
Media Coverage of Beneficiary or his/her work,https://www.bloomberg.com/news/articles/2023-05-24/monzo-founder-swaps-london-for-san-francisco-joins-y-combinator
Author’s Personal Website,https://www.matthewclifford.com/aboutme/
Author’s Company Page,https://en.wikipedia.org/wiki/Entrepreneur_First
Media Coverage of Author or his/her work,https://www.politico.eu/article/matt-clifford-britain-powerful-technology-adviser-artificial-intelligence/
Media Coverage of Author or his/her work,https://techcrunch.com/2021/11/15/entrepreneur-first-launches-partnership-with-tezos-to-spin-up-web3-startups/
Media Coverage of Author or his/her work,https://techround.co.uk/interviews/interview-with-matt-clifford-co-founder-at-entrepreneur-first-the-worlds-leading-talent-investor/
Media Coverage of Author or his/her work,https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/entrepreneur-first-ceo-matt-clifford-on-early-stage-talent-investing
